tipo;url_origem;url_destino
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2017/10-outuro-3-10-2017.odt;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2017/10-outuro-3-10-2017.odt
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2017/11-novembro-13-11-2017.odt;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2017/11-novembro-13-11-2017.odt
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2017/9-setembro-5-9-2017.odt;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2017/9-setembro-5-9-2017.odt
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2017/Abril%20-%204.4.2017.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2017/Abril - 4.4.2017.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2017/Janeiro%20-%207.2.2017.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2017/Janeiro - 7.2.2017.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2017/Maio%20-%202.5.2017.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2017/Maio - 2.5.2017.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2017/Marco%20-%207.3.2017.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2017/Marco - 7.3.2017.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2017/tabela-de-afastamento-agosto-2017;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2017/tabela-de-afastamento-agosto-2017
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2017/tabela-de-afastamento-junho-2017;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2017/tabela-de-afastamento-junho-2017
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2018-1/10-%20Outubro%20-%202.10.2018%20.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2018-1/10- Outubro - 2.10.2018 .pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2018-1/11-novembro-6-11-2018.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2018-1/11-novembro-6-11-2018.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2018-1/12-dezembro-4-12-2018.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2018-1/12-dezembro-4-12-2018.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2018-1/2-fevereiro-6-2-2018.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2018-1/2-fevereiro-6-2-2018.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2018-1/3-marco-6-3-2018.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2018-1/3-marco-6-3-2018.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2018-1/4-abril-11-4-2018.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2018-1/4-abril-11-4-2018.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2018-1/5-maio-4-5-2018.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2018-1/5-maio-4-5-2018.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2018-1/6-junho-5-6-2018.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2018-1/6-junho-5-6-2018.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2018-1/8-agosto-7-8-2018.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2018-1/8-agosto-7-8-2018.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2018-1/9-setembro-4-9-2018.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2018-1/9-setembro-4-9-2018.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2019/10-outubro-1-10-2019.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2019/10-outubro-1-10-2019.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2019/11-novembro-5-11-2019.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2019/11-novembro-5-11-2019.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2019/2-fevereiro-5-2-2019-1.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2019/2-fevereiro-5-2-2019-1.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2019/2-fevereiro-5-2-2019.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2019/2-fevereiro-5-2-2019.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2019/3-marco-26-3-2019.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2019/3-marco-26-3-2019.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2019/4-abril-2-4-2019.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2019/4-abril-2-4-2019.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2019/5-maio-7-5-2019.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2019/5-maio-7-5-2019.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2019/6-junho-4-6-2019.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2019/6-junho-4-6-2019.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2019/7-agosto-8-8-2019.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2019/7-agosto-8-8-2019.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/o-mpf/csmpf/documentos-e-publicacoes/afastamentos/2019/9-setembro-3-9-2019-1.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/conselho-superior/documentos-e-publicacoes/afastamentos/2019/9-setembro-3-9-2019-1.pdf
