tipo;url_origem;url_destino
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/judicial;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/judicial
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/judicial/2013;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/judicial/2013
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/judicial/2014;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/judicial/2014
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/judicial/2015;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/judicial/2015
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/judicial/2016;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/judicial/2016
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/judicial/2017;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/judicial/2017
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/judicial/2018;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/judicial/2018
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/judicial/2019;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/judicial/2019
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/judicial/2020;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/judicial/2020
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/judicial/2021;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/judicial/2021
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/judicial/2022;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/judicial/2022
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/judicial/2023;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/judicial/2023
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/judicial/2024;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/judicial/2024
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/judicial/2025;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/judicial/2025
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/judicial/2026;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/judicial/2026
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/recesso;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/recesso
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/judicial/2013/6_calendario_de__plantao1-_semestre_procuradores-2013.3858.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/judicial/2013/6_calendario_de__plantao1-_semestre_procuradores-2013.3858.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/judicial/2013/7_calendario_de__plantao_2_-_semestre_procuradores-2013.4100.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/judicial/2013/7_calendario_de__plantao_2_-_semestre_procuradores-2013.4100.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/regiao3/informacoes-de-gestao/escala-de-plantao/judicial/2014/5-_alt_-_calendario_plantao_2-_semestre_2014.5837.pdf;http://svlh-plnptall01.pgr.mpf.mp.br:8401/mpf2026/o-mpf/unidades/prr3/plantao/judicial/2014/5-_alt_-_calendario_plantao_2-_semestre_2014.5837.pdf
