tipo;url_origem;url_destino
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/go/servicos-1/plantao;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-go/plantao/
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/go/servicos-1/plantao/portarias-de-plantao;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-go/plantao/portarias-de-plantao
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/go/servicos-1/plantao/portaria-129-plantao-trimestral-julho-a-setembro-de-2025;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-go/plantao/portaria-129-plantao-trimestral-julho-a-setembro-de-2025
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/go/servicos-1/plantao/portaria-165-retificacao-a-151-e-portaria-151-plantao-de-membros-e-servidores;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-go/plantao/portaria-165-retificacao-a-151-e-portaria-151-plantao-de-membros-e-servidores
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/go/servicos-1/plantao/portaria-63-2025-retificacao-plantao;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-go/plantao/portaria-63-2025-retificacao-plantao
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/go/servicos-1/plantao/portaria-de-plantao-do-4deg-trimestre-de-2024.pdf;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-go/plantao/portaria-de-plantao-do-4deg-trimestre-de-2024.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/go/servicos-1/plantao/portaria-de-plantao-trimestral-jan-mar-2026.pdf;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-go/plantao/portaria-de-plantao-trimestral-jan-mar-2026.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/go/servicos-1/plantao/portaria-de-plantao-trimestral-outubro-a-dezembro-de-2025;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-go/plantao/portaria-de-plantao-trimestral-outubro-a-dezembro-de-2025
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/go/servicos-1/plantao/portaria-de-retificacao-plantao-trimestral-out-a-dez-2025;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-go/plantao/portaria-de-retificacao-plantao-trimestral-out-a-dez-2025
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/go/servicos-1/plantao/portaria-plantao-trimestral-janeiro-a-marco;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-go/plantao/portaria-plantao-trimestral-janeiro-a-marco
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/go/servicos-1/plantao/portaria-prgo-53-2025-plantao-trimestral-abr-jun;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-go/plantao/portaria-prgo-53-2025-plantao-trimestral-abr-jun
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/go/servicos-1/plantao/Portaria%20171-2023-%20JUL%20a%20SET.pdf;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-go/plantao/Portaria 171-2023- JUL a SET.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/go/servicos-1/plantao/Portaria%20272-2023.pdf;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-go/plantao/Portaria 272-2023.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/go/servicos-1/plantao/Portaria%20n%20077-2023%20-%20Plantao%20Trimestral%20-%20ABR%20a%20JUN-23.pdf;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-go/plantao/Portaria n 077-2023 - Plantao Trimestral - ABR a JUN-23.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/go/servicos-1/plantao/Portaria%20n%20286-2023%20-%20Plantao%20Trimestral%20-%20JAN%20a%20MAR-24.pdf;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-go/plantao/Portaria n 286-2023 - Plantao Trimestral - JAN a MAR-24.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/go/servicos-1/plantao/Portaria%20PRGO%2065-2024.PDF;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-go/plantao/Portaria PRGO 65-2024.PDF
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/go/servicos-1/plantao/Portaria%20PRGO%20NR%2065-2024.pdf;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-go/plantao/Portaria PRGO NR 65-2024.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/go/servicos-1/plantao/PR-GO-00011717-2022%20-%20Portaria%20PR-GO%2049-2022%20plantao%20trimestral%20ABR%20a%20JUN-22_1.pdf;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-go/plantao/PR-GO-00011717-2022 - Portaria PR-GO 49-2022 plantao trimestral ABR a JUN-22_1.pdf
