tipo;url_origem;url_destino
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pream/copy_of_radar-eleicoes-2018/radar-eleicoes-2018;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-am/copy_of_radar-eleicoes-2018/radar-eleicoes-2018
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pream/institucional/composicao/procuradoria-regional-eleitoral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-am/institucional/composicao/procuradoria-regional-eleitoral
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pream/institucional/historico/historico;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-am/institucional/historico/historico
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pream/institucional/sobre-o-mp-eleitoral/sobre-o-mpf-eleitoral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-am/institucional/sobre-o-mp-eleitoral/sobre-o-mpf-eleitoral
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pream/radar-eleicoes-2018/radar-eleicoes-2018;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-am/radar-eleicoes-2018/radar-eleicoes-2018
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pream/copy_of_radar-eleicoes-2018/documentos/aije/decisao-proibicao-de-presenca-de-politicos-e-mencao-a-nomes-de-candidatos-durante-shows-em-eirunepe;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-am/copy_of_radar-eleicoes-2018/documentos/aije/decisao-proibicao-de-presenca-de-politicos-e-mencao-a-nomes-de-candidatos-durante-shows-em-eirunepe
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pream/copy_of_radar-eleicoes-2018/documentos/aije/inicial-aije-suspensao-de-shows-em-eirunepe;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-am/copy_of_radar-eleicoes-2018/documentos/aije/inicial-aije-suspensao-de-shows-em-eirunepe
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pream/copy_of_radar-eleicoes-2018/documentos/airc/acordao-deferimento-de-registro-de-angelus-figueira;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-am/copy_of_radar-eleicoes-2018/documentos/airc/acordao-deferimento-de-registro-de-angelus-figueira
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pream/copy_of_radar-eleicoes-2018/documentos/airc/acordao-indeferimento-de-candidatura-de-abdala-fraxe;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-am/copy_of_radar-eleicoes-2018/documentos/airc/acordao-indeferimento-de-candidatura-de-abdala-fraxe
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pream/copy_of_radar-eleicoes-2018/documentos/airc/acordao-indeferimento-do-registro-de-candidatura-de-cleucirlei-pereira-dos-passos;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-am/copy_of_radar-eleicoes-2018/documentos/airc/acordao-indeferimento-do-registro-de-candidatura-de-cleucirlei-pereira-dos-passos
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pream/copy_of_radar-eleicoes-2018/documentos/airc/airc-abdala-fraxe;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-am/copy_of_radar-eleicoes-2018/documentos/airc/airc-abdala-fraxe
