tipo;url_origem;url_destino
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/impugnacoes/acoes-de-impugnacao-de-registro-de-candidatura;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/impugnacoes/acoes-de-impugnacao-de-registro-de-candidatura
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/institucional-1/atuacao-e-missao-do-mpe;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/institucional-1/atuacao-e-missao-do-mpe
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/institucional-1/estrutura-do-mpe;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/institucional-1/estrutura-do-mpe
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/institucional/pre;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/institucional/pre
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/noticias/denuncia-de-ilicitos-eleitorais-na-internet;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/noticias/denuncia-de-ilicitos-eleitorais-na-internet
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/promotores-eleitorais/promotores-eleitorais;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/promotores-eleitorais/promotores-eleitorais
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/cartilhas/por-dentro-das-eleicoes-2018.pdf;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/cartilhas/por-dentro-das-eleicoes-2018.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/cartilhas/tre-ap-cartilha-eleicoes-2018-fiscalizacao.pdf;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/cartilhas/tre-ap-cartilha-eleicoes-2018-fiscalizacao.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/documentos/portariapge26-pgr-00395050-2025.pdf;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/documentos/portariapge26-pgr-00395050-2025.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/documentos/recomendacao_85_2018_eleitoral_orgaos_publicos.pdf;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/documentos/recomendacao_85_2018_eleitoral_orgaos_publicos.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/documentos/recomendacao_87_2018_emissoras_de_tv_radio_eleitoral.pdf;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/documentos/recomendacao_87_2018_emissoras_de_tv_radio_eleitoral.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/documentos/recomendacao_89_2018_eleitoral_entidades_religiosas.pdf;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/documentos/recomendacao_89_2018_eleitoral_entidades_religiosas.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/documentos/recomendacao-59-2018-diretorios-partidarios-do-amapa.pdf;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/documentos/recomendacao-59-2018-diretorios-partidarios-do-amapa.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/documentos/recomendacao-64-2018-participacao-feminina.pdf;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/documentos/recomendacao-64-2018-participacao-feminina.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/institucional-1/portarias/portarias-de-designacao/portaria-001;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/institucional-1/portarias/portarias-de-designacao/portaria-001
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/institucional-1/portarias/portarias-de-designacao/portaria-002-2016;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/institucional-1/portarias/portarias-de-designacao/portaria-002-2016
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/institucional-1/portarias/portarias-de-designacao/portaria-003-2016;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/institucional-1/portarias/portarias-de-designacao/portaria-003-2016
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/institucional-1/portarias/portarias-de-designacao/portaria-004-2016;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/institucional-1/portarias/portarias-de-designacao/portaria-004-2016
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/institucional-1/portarias/portarias-de-designacao/portaria-005-2016;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/institucional-1/portarias/portarias-de-designacao/portaria-005-2016
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/banners;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/banners
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/institucional-1;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/institucional-1
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/institucional-1/portarias/atos-do-pre;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/institucional-1/portarias/atos-do-pre
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/institucional-1/portarias/portarias-de-designacao;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/institucional-1/portarias/portarias-de-designacao
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/institucional;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/institucional
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/noticias;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/noticias
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preap/promotores-eleitorais;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ap/promotores-eleitorais
