tipo;url_origem;url_destino
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prece/composicao;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ce/composicao
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prece/documentos/documentos-da-pre;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ce/documentos/documentos-da-pre
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prece/documentos/orientacoes;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ce/documentos/orientacoes
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prece/documentos/portarias;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ce/documentos/portarias
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prece/documentos/recomendacoes;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ce/documentos/recomendacoes
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prece/documentos/resolucoes;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ce/documentos/resolucoes
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prece/nossos-contatos;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ce/nossos-contatos
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prece/promotores-e-zonas-eleitorais;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ce/promotores-e-zonas-eleitorais
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prece/sobre-a-pre;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ce/sobre-a-pre
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prece/arquivos/promotores-eleitorais;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ce/arquivos/promotores-eleitorais
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prece/arquivos/zonas-eleitorais;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ce/arquivos/zonas-eleitorais
