tipo;url_origem;url_destino
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/atos-e-publicacoes/atos-e-publicacoes;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/atos-e-publicacoes/atos-e-publicacoes
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/cota-de-genero-na-politica-saiba-como-identificar-possiveis-fraudes-e-denuncie;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/cota-de-genero-na-politica-saiba-como-identificar-possiveis-fraudes-e-denuncie
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/denuncia-de-ilicitos-eleitorais-na-internet;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/denuncia-de-ilicitos-eleitorais-na-internet
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/institucional/a-pre-df;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/institucional/a-pre-df
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/plantao/plantao-justica-eleitoral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/plantao/plantao-justica-eleitoral
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/sistema-de-controle-eleitoral/o-sistema-de-controle-eleitoral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/sistema-de-controle-eleitoral/o-sistema-de-controle-eleitoral
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/sistema-de-controle-eleitoral/sistema-de-controle-eleitoral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/sistema-de-controle-eleitoral/sistema-de-controle-eleitoral
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/atos-e-publicacoes/orientacao-normativa-01-2022-1;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/atos-e-publicacoes/orientacao-normativa-01-2022-1
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/atos-e-publicacoes/orientacao-normativa-no-02-2022;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/atos-e-publicacoes/orientacao-normativa-no-02-2022
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/atos-e-publicacoes/recomendacao-02-2022;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/atos-e-publicacoes/recomendacao-02-2022
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/plantao/arquivos/portaria-pre-df-no-2-2024;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/plantao/arquivos/portaria-pre-df-no-2-2024
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/plantao/arquivos/portaria-pre-df-no-4-2024-2;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/plantao/arquivos/portaria-pre-df-no-4-2024-2
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/plantao/arquivos/portaria-pre-df-no-5-de-3-de-dezembro-de-2025;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/plantao/arquivos/portaria-pre-df-no-5-de-3-de-dezembro-de-2025
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/atos-e-publicacoes;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/atos-e-publicacoes
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/banners;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/banners
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/imagens;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/imagens
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/institucional;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/institucional
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/links;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/links
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/noticias;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/noticias
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/plantao;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/plantao
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/plantao/arquivos;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/plantao/arquivos
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/servicos-predf;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/servicos-predf
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/predf/sistema-de-controle-eleitoral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-df/sistema-de-controle-eleitoral
