tipo;url_origem;url_destino
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional/atuacao-do-mpe/atuacao-do-ministerio-publico-eleitoral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional/atuacao-do-mpe/atuacao-do-ministerio-publico-eleitoral
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional/coordenacao-eleitoral/coordenacao-eleitoral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional/coordenacao-eleitoral/coordenacao-eleitoral
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional/estrutura-do-mpe/estrutura-do-mpe;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional/estrutura-do-mpe/estrutura-do-mpe
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional/procurador-geral/procurador-geral-e-vice-procurador-geral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional/procurador-geral/procurador-geral-e-vice-procurador-geral
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional/sobre-o-mpe-1;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional/sobre-o-mpe-1
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional/sobre-o-mpe/sobre-o-mpf;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional/sobre-o-mpe/sobre-o-mpf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional/coordenacao-eleitoral/portarias/portaria-pgr-206-de-23-de-abril-de-2013;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional/coordenacao-eleitoral/portarias/portaria-pgr-206-de-23-de-abril-de-2013
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional/coordenacao-eleitoral/portarias/portaria-pgr-230-de-26-de-abril-de-2013;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional/coordenacao-eleitoral/portarias/portaria-pgr-230-de-26-de-abril-de-2013
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional/coordenacao-eleitoral/portarias/portaria-pgr-900-de-13-de-dezembro-de-2013;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional/coordenacao-eleitoral/portarias/portaria-pgr-900-de-13-de-dezembro-de-2013
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional/coordenacao-eleitoral/portarias/portaria-pgr-901-de-13-de-dezembro-de-2013;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional/coordenacao-eleitoral/portarias/portaria-pgr-901-de-13-de-dezembro-de-2013
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional/coordenacao-eleitoral/portarias/PORTARIA%20PGR-MPF%20No%20527-2015.pdf;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional/coordenacao-eleitoral/portarias/PORTARIA PGR-MPF No 527-2015.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/fale-com-a-pre/in-pge-1-2008;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/fale-com-a-pre/in-pge-1-2008
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/banners;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/banners
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional/atuacao-do-mpe;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional/atuacao-do-mpe
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional/coordenacao-eleitoral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional/coordenacao-eleitoral
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional/coordenacao-eleitoral/portarias;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional/coordenacao-eleitoral/portarias
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional/estrutura-do-mpe;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional/estrutura-do-mpe
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional/procurador-geral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional/procurador-geral
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional/procuradores-regionais;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional/procuradores-regionais
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/copy_of_institucional/sobre-o-mpe;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/copy_of_institucional/sobre-o-mpe
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/fale-com-a-pre;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/fale-com-a-pre
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prema/noticias;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ma/noticias
