tipo;url_origem;url_destino
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prems/institucional/atuacao/atuacao;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ms/institucional/atuacao/atuacao
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prems/institucional/estrutura-1/estrutura;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ms/institucional/estrutura-1/estrutura
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prems/institucional/estrutura;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ms/institucional/estrutura
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prems/institucional/procuradoria-regional-eleitoral/procuradoria-regional-eleitoral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ms/institucional/procuradoria-regional-eleitoral/procuradoria-regional-eleitoral
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prems/promotorias-eleitorais/promotorias-eleitorais;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ms/promotorias-eleitorais/promotorias-eleitorais
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prems/promotorias-eleitorais/julho-de-2022;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ms/promotorias-eleitorais/julho-de-2022
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prems/promotorias-eleitorais/maio-de-2021;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ms/promotorias-eleitorais/maio-de-2021
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prems/promotorias-eleitorais/marco-de-2022;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ms/promotorias-eleitorais/marco-de-2022
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prems/banners;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ms/banners
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prems/denuncias;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ms/denuncias
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prems/institucional;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ms/institucional
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prems/institucional/atuacao;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ms/institucional/atuacao
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prems/institucional/estrutura-1;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ms/institucional/estrutura-1
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prems/institucional/procuradoria-regional-eleitoral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ms/institucional/procuradoria-regional-eleitoral
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prems/noticias;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ms/noticias
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prems/promotorias-eleitorais;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-ms/promotorias-eleitorais
