tipo;url_origem;url_destino
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepi/composicao;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pi/composicao
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepi/contatos/contatos;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pi/contatos/contatos
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepi/legislacao-eleitoral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pi/legislacao-eleitoral
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepi/procuradoria-regional-eleitoral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pi/procuradoria-regional-eleitoral
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepi/sobre-os-crimes-eleitorais;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pi/sobre-os-crimes-eleitorais
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepi/atos-da-pre/enunciados;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pi/atos-da-pre/enunciados
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepi/atos-da-pre/outros-documentos;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pi/atos-da-pre/outros-documentos
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepi/atos-da-pre/portarias;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pi/atos-da-pre/portarias
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepi/atos-da-pre/recomendacoes;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pi/atos-da-pre/recomendacoes
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepi/campanhas/imagens;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pi/campanhas/imagens
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepi/contatos;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pi/contatos
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepi/noticias;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pi/noticias
