tipo;url_origem;url_destino
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepr/assedio-eleitoral/assedio-eleitoral-saiba-como-identificar-e-denunciar-2;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pr/assedio-eleitoral/assedio-eleitoral-saiba-como-identificar-e-denunciar-2
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepr/orientacoes/orientacoes-promotorias-eleitorais;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pr/orientacoes/orientacoes-promotorias-eleitorais
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepr/publicacoes/publicacoes;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pr/publicacoes/publicacoes
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepr/orientacoes/8-orientacao-pre-2024;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pr/orientacoes/8-orientacao-pre-2024
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepr/orientacoes/orientacao-03-2024.pdf;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pr/orientacoes/orientacao-03-2024.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepr/orientacoes/orientacao-6-2024-diretrizes-propaganda-irregular-desinformacao-e-discursos-de-intolerancia.pdf;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pr/orientacoes/orientacao-6-2024-diretrizes-propaganda-irregular-desinformacao-e-discursos-de-intolerancia.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepr/orientacoes/orientacao-7-2024-propaganda.pdf;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pr/orientacoes/orientacao-7-2024-propaganda.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepr/orientacoes/orientacao-no-02-2024-de-16-04-2024-1;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pr/orientacoes/orientacao-no-02-2024-de-16-04-2024-1
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepr/orientacoes/orientacao-pre-pr-n-02-2024-de-16-04-2024.pdf;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pr/orientacoes/orientacao-pre-pr-n-02-2024-de-16-04-2024.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepr/orientacoes/orientacao-pre-pr-n-o4-2024;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pr/orientacoes/orientacao-pre-pr-n-o4-2024
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepr/orientacoes/orientacao-pre-pr-n-o5-2024;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pr/orientacoes/orientacao-pre-pr-n-o5-2024
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepr/orientacoes/pre_pr_orientacao_01_24-propaganda-eleitoral-antecipada.pdf;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pr/orientacoes/pre_pr_orientacao_01_24-propaganda-eleitoral-antecipada.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepr/publicacoes/infografico-assedio-eleitoral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pr/publicacoes/infografico-assedio-eleitoral
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepr/assedio-eleitoral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pr/assedio-eleitoral
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepr/banners;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pr/banners
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepr/institucional;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pr/institucional
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/prepr/institucional/composicao;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-pr/institucional/composicao
