tipo;url_origem;url_destino
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/presc/composicao;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-sc/composicao
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/presc/duvidas-frequentes;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-sc/duvidas-frequentes
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/presc/eleitoral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-sc/eleitoral
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/presc/glossario-eleitoral-brasileiro;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-sc/glossario-eleitoral-brasileiro
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/presc/institucional;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-sc/institucional
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/presc/legislacao-eleitoral;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-sc/legislacao-eleitoral
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/presc/pareceres;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-sc/pareceres
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/presc/promotorias-por-zonas;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-sc/promotorias-por-zonas
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/presc/zonas-eleitorais;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-sc/zonas-eleitorais
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/presc/documentos/calendario_eleitoral_2022.pdf;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-sc/documentos/calendario_eleitoral_2022.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/presc/documentos/guia-pratico-para-candidatos;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-sc/documentos/guia-pratico-para-candidatos
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/presc/documentos/pontos-controvertidos-sobre-a-lei-da-ficha-limpa.pdf;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-sc/documentos/pontos-controvertidos-sobre-a-lei-da-ficha-limpa.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/presc/documentos/prestacao_contas_eleicoes_2012.ppt;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-sc/documentos/prestacao_contas_eleicoes_2012.ppt
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/presc/banners;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-sc/banners
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/presc/documentos;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-sc/documentos
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/presc/noticias;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-sc/noticias
