tipo;url_origem;url_destino
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ap/transparencia;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-ap/transparencia/
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ap/transparencia/arquivos/licitacao-2020;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-ap/transparencia/arquivos/licitacao-2020
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ap/transparencia/arquivos/licitacao-2022/ar-condicionado;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-ap/transparencia/arquivos/licitacao-2022/ar-condicionado
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ap/transparencia/atos-e-normas;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-ap/transparencia/atos-e-normas
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ap/transparencia/bens-para-doacao;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-ap/transparencia/bens-para-doacao
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ap/transparencia/destinacao-de-bens-e-valores;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-ap/transparencia/destinacao-de-bens-e-valores
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ap/transparencia/dispensas-de-licitacao;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-ap/transparencia/dispensas-de-licitacao
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ap/transparencia/licitacoes;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-ap/transparencia/licitacoes
Document;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ap/transparencia/transparencia-pr-ap;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-ap/transparencia/transparencia-pr-ap
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ap/transparencia/arquivos/2004/carta_convite-2004-01-resultado.zip;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-ap/transparencia/arquivos/2004/carta_convite-2004-01-resultado.zip
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ap/transparencia/arquivos/2004/carta_convite-2004-01.pdf;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-ap/transparencia/arquivos/2004/carta_convite-2004-01.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ap/transparencia/arquivos/2004/carta_convite-2004-03-resultado.pdf;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-ap/transparencia/arquivos/2004/carta_convite-2004-03-resultado.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ap/transparencia/arquivos/2004/carta_convite-2004-03.pdf;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-ap/transparencia/arquivos/2004/carta_convite-2004-03.pdf
