tipo;url_origem;url_destino
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/rn/transparencia/licitacoes/2012/pregao-03/DOU%2010-12-2012.pdf;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-rn/transparencia/licitacoes/2012/pregao-03/DOU 10-12-2012.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/rn/transparencia/licitacoes/2012/pregao-03/Pregao%200312%20%20-%20Servicos%20Complementares%20Anexo.pdf;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-rn/transparencia/licitacoes/2012/pregao-03/Pregao 0312  - Servicos Complementares Anexo.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/rn/transparencia/licitacoes/2012/pregao-03/Publicacao%20AVISO%20DOU.pdf;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-rn/transparencia/licitacoes/2012/pregao-03/Publicacao AVISO DOU.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/rn/transparencia/licitacoes/2012/pregao-03/Retificacao%20DOU%20-anexo.pdf;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-rn/transparencia/licitacoes/2012/pregao-03/Retificacao DOU -anexo.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/rn/transparencia/licitacoes/2012/pregao-04/anexo-ia/Fotos%20do%20imovel.pdf;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-rn/transparencia/licitacoes/2012/pregao-04/anexo-ia/Fotos do imovel.pdf
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/rn/transparencia/licitacoes/2012/pregao-04/anexo-ib/plantas-pau-dos-ferros/Proj.Arq%20Cortes%20e%20fachada%20-%20Casa%20alugada%20Pau%20dos%20Ferros.dwg;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-rn/transparencia/licitacoes/2012/pregao-04/anexo-ib/plantas-pau-dos-ferros/Proj.Arq Cortes e fachada - Casa alugada Pau dos Ferros.dwg
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/rn/transparencia/licitacoes/2012/pregao-04/anexo-ib/plantas-pau-dos-ferros/Proj.Arq%20Planta%20baixa%20-%20Casa%20alugada%20Pau%20dos%20Ferros.dwg;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-rn/transparencia/licitacoes/2012/pregao-04/anexo-ib/plantas-pau-dos-ferros/Proj.Arq Planta baixa - Casa alugada Pau dos Ferros.dwg
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/rn/transparencia/licitacoes/2012/pregao-04/anexo-ib/plantas-pau-dos-ferros/Proj.Cab.Estruturado%20-%20Casa%20alugada%20Pau%20dos%20Ferros.dwg;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-rn/transparencia/licitacoes/2012/pregao-04/anexo-ib/plantas-pau-dos-ferros/Proj.Cab.Estruturado - Casa alugada Pau dos Ferros.dwg
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/rn/transparencia/licitacoes/2012/pregao-04/anexo-ib/plantas-pau-dos-ferros/Proj.Eletrico%20-%20Casa%20alugada%20Pau%20dos%20Ferros.dwg;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-rn/transparencia/licitacoes/2012/pregao-04/anexo-ib/plantas-pau-dos-ferros/Proj.Eletrico - Casa alugada Pau dos Ferros.dwg
File;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/rn/transparencia/licitacoes/2012/pregao-04/anexo-ib/Plantas%20Pau%20dos%20Ferros.rar;https://www-cdn.mpf.mp.br/o-mpf/unidades/pr-rn/transparencia/licitacoes/2012/pregao-04/anexo-ib/Plantas Pau dos Ferros.rar
